faculty_rank,Years Since PhD,Years Faculty Service,Sex,Salary,discipline
Prof,19,18,Male,139750,Applied
Prof,20,16,Male,173200,Applied
AsstProf,4,3,Male,79750,Applied
Prof,45,39,Male,115000,Applied
Prof,40,41,Male,141500,Applied
AssocProf,6,6,Male,97000,Applied
Prof,30,23,Male,175000,Applied
Prof,45,45,Male,147765,Applied
Prof,21,20,Male,119250,Applied
Prof,18,18,Female,129000,Applied
AssocProf,12,8,Male,119800,Applied
AsstProf,7,2,Male,79800,Applied
AsstProf,1,1,Male,77700,Applied
AsstProf,2,0,Male,78000,Applied
Prof,20,18,Male,104800,Applied
Prof,12,3,Male,117150,Applied
Prof,19,20,Male,101000,Applied
Prof,38,34,Male,103450,Theoretical
Prof,37,23,Male,124750,Theoretical
Prof,39,36,Female,137000,Theoretical
Prof,31,26,Male,89565,Theoretical
Prof,36,31,Male,102580,Theoretical
Prof,34,30,Male,93904,Theoretical
Prof,24,19,Male,113068,Theoretical
AssocProf,13,8,Female,74830,Theoretical
Prof,21,8,Male,106294,Theoretical
Prof,35,23,Male,134885,Theoretical
AsstProf,5,3,Male,82379,Applied
AsstProf,11,0,Male,77000,Applied
Prof,12,8,Male,118223,Applied
Prof,20,4,Male,132261,Applied
AsstProf,7,2,Male,79916,Applied
Prof,13,9,Male,117256,Applied
AsstProf,4,2,Male,80225,Applied
AsstProf,4,2,Female,80225,Applied
AsstProf,5,0,Female,77000,Applied
Prof,22,21,Male,155750,Applied
AsstProf,7,4,Male,86373,Applied
Prof,41,31,Male,125196,Applied
AssocProf,9,9,Male,100938,Applied
Prof,23,2,Male,146500,Applied
AssocProf,23,23,Male,93418,Applied
Prof,40,27,Male,101299,Applied
Prof,38,38,Male,231545,Applied
Prof,19,19,Male,94384,Applied
Prof,25,15,Male,114778,Applied
Prof,40,28,Male,98193,Applied
Prof,23,19,Female,151768,Applied
Prof,25,25,Female,140096,Applied
AsstProf,1,1,Male,70768,Applied
Prof,28,28,Male,126621,Applied
Prof,12,11,Male,108875,Applied
AsstProf,11,3,Female,74692,Applied
Prof,16,9,Male,106639,Applied
AssocProf,12,11,Male,103760,Applied
AssocProf,14,5,Male,83900,Applied
Prof,23,21,Male,117704,Applied
AssocProf,9,8,Male,90215,Applied
