field_of_study,number_1985,percent_1985,number_2000,percent_2000,number_2015,percent_2015,,,,
Female,"10,743",34.3%,"18,131",43.9%,"25,403",46.2%,,,,
Physical sciences and earth sciences,569,16.3%,"1,022",25.2%,"1,988",33.6%,,,,
Engineering,198,6.3%,838,15.8%,"2,301",23.2%,,,,
Education,"3,491",51.8%,"4,179",64.9%,"3,502",68.5%,,,,
Humanities and arts,"1,392",40.9%,"2,672",49.0%,"2,832",50.6%,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
